post_title,post_excerpt,post_content,post_status,menu_order,post_date,post_parent,sku,downloadable,virtual,visibility,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:total_sales,meta:woocommerce_sale_flash_type
Seared Oak Zola Console,"A beautiful, contemporary console with a time-worn French Oak top","Featuring boards of oak that are scraped by hand and sanded to give the look of old time-worn floorboards, the contemporary leg fabricated from fine rods of steel offset and enhance the Oak top.",publish,0,19-08-2011 17.12,0,CON1001,no,no,visible,1,instock,no,no,49500,,0,150,45,80,taxable,reduced-rate,1|2|4,1|3,no,,,,,,,http://localhost/wordpress/catalog1/CON1001_Seared_Zola_Console_Front.jpg,simple,Furniture > Tables > Consoles,,,0,amount
Raw Oak Zola Console,,,publish,0,20-08-2011 17.12,0,CON1002,no,no,visible,1,instock,no,no,49500,,0,150,45,80,taxable,reduced-rate,1|2|5,1|4,no,,,,,,,http://localhost/wordpress/catalog1/CON1002_Raw_Zola_Console_Front.jpg,simple,Furniture > Seating > Dining Chairs,,,0,amount
Seared Oak Eska Dining Chair,"An  elegant, sleek dining chair that combines quality & comfort","This piece features solid oak construction is available in a seared and raw finish. Made of PEFC certified French Oak, the Eska chairs clean, sleek lines make it a lovely addition to any contemporary dining space.",publish,0,21-08-2011 17.12,0,DCH1001,no,no,visible,20,instock,no,no,19500,,0,46,54,91,taxable,reduced-rate,1|2|6,1|5,no,,,,,,,http://localhost/wordpress/catalog1/DCH_1001_Seared_Eska_Front.jpg | http://localhost/wordpress/catalog1/DCH_1001_Seared_Eska_Front_Right.jpg | http://localhost/wordpress/catalog1/DCH_1001_Seared_Eska_Side.jpg,simple,Furniture > Seating > Dining Chairs,,,0,amount
Raw Oak Eska Dining Chair,,,publish,0,22-08-2011 17.12,0,DCH1002,no,no,visible,20,instock,no,no,19500,,0,46,54,91,taxable,reduced-rate,1|2|7,1|6,no,,,,,,,,simple,Furniture > Seating > Dining Chairs,,,0,amount
Seared Oak Turned Dining Chair,A retro modern dining chair,"Available in a seared oak finish, the Turned dining chair  combines the retro design with contemporary comfort.",publish,0,24-08-2011 17.12,0,DCH1101,no,no,visible,20,instock,no,no,19500,,0,50,60,84,taxable,reduced-rate,1|2|9,1|8,no,,,,,,,http://localhost/wordpress/catalog1/DCH1101_Turned_Front.jpg | http://localhost/wordpress/catalog1/DCH1101_Turned_Front_Right.jpg | http://localhost/wordpress/catalog1/DCH1101_Turned_Side.jpg,simple,Furniture > Tables > Side Tables,,,0,amount
MyLoft Sofa,The perfect couch to chill and relax in,"The ideal sofa for anyone looking to add a couch with the purpose of putting your feet up and relaxing. With the added functionality of becoming a single bed, it’s a perfect Sunday afternoon",publish,0,25-08-2011 17.12,0,SOF1001,no,no,visible,2,instock,no,no,149000,,0,234,95,30,taxable,reduced-rate,1|2|10,1|9,no,,,,,,,http://localhost/wordpress/catalog1/SOF1001_MyLoft_Front_2.jpg | http://localhost/wordpress/catalog1/SOF1001_MyLoft_Front_Right.jpg | http://localhost/wordpress/catalog1/SOF1001_MyLoft_Side.jpg,simple,,,,0,amount
StackedBooks Side Table,"Inspired from books, your perfect armchair & sofa companion","This side table won't fail to catch your eye. With a design inspired from books, and funcationality inspired from a lack of space, this side table is perfect for your bedroom, living room or library. ",publish,0,26-08-2011 17.12,0,STH1001,no,no,visible,1,instock,no,no,15000,,0,45,45,40,taxable,reduced-rate,1|2|11,1|10,yes,,,,,,,http://localhost/wordpress/catalog1/STH1001_StackedBooks_Front.jpg | http://localhost/wordpress/catalog1/STH1001_StackedBooks_Open.jpg | http://localhost/wordpress/catalog1/STH1001_StackedBooks_Front_Right.jpg,simple,,,,0,amount
Ella 1059 Sofa,The perfect retro modern sofa for all sizes and homes,"Compact, comfortable, stylish. This sums up Ella, our best selling retro-modern sofa. With a depth of just 2'6"", sit on it to believe its comfort. ",publish,0,27-08-2011 17.12,0,SOF1101,no,no,visible,5,instock,no,no,89000,,0,176,82,81,taxable,reduced-rate,1|2|12,1|11,yes,,,,,,,http://localhost/wordpress/catalog1/SOF1101_Ella_1059_Sofa_Front.jpg | http://localhost/wordpress/catalog1/SOF1101_Ella_1059_Sofa_Front_Right.jpg | http://localhost/wordpress/catalog1/SOF1101_Ella_1059_Sofa_Side.jpg,simple,,,,0,amount
Ella 1059 Loveseat,The perfect retro modern sofa for all sizes and homes,"Compact, comfortable, stylish. This sums up Ella, our best selling retro-modern sofa. With a depth of just 2'6"", sit on it to believe its comfort. ",publish,0,26-08-2011 17.12,0,SOF1201,no,no,visible,5,instock,no,no,69000,,0,126,82,81,taxable,reduced-rate,1|2|11,1|10,yes,,,,,,,http://localhost/wordpress/catalog1/SOF1201_Ella_1059_Loveseat_Front.jpg | http://localhost/wordpress/catalog1/SOF1201_Ella_1059_Loveseat_Front_Right.jpg | http://localhost/wordpress/catalog1/SOF1201_Ella_1059_Loveseat_Side.jpg,simple,,,,0,amount
Donovan Rocker Recliner,"A manual recliner that rocks, swivels and well, reclines","Without the bulk of a traditional lazyboy, feel the comfort with the added feature of rocking as you read, relax or enjoy a movie",publish,0,27-08-2011 17.12,0,RCH1001,no,no,visible,5,instock,no,no,119000,,0,83,95,105,taxable,reduced-rate,1|2|12,1|11,yes,,,,,,,http://localhost/wordpress/catalog1/RCH1001_Donovan_Recliner_Front.jpg | http://localhost/wordpress/catalog1/RCH1001_Donovan_Recliner_Front_Right.jpg | http://localhost/wordpress/catalog1/RCH1001_Donovan_Recliner_Side.jpg,simple,,,,0,amount
